descricao;energia_kcal;proteina_g;lipideos_g;colesterol_mg;carboidratos_g;fibra_g;calcio_mg;fosforo_mg;ferro_mg;sodio_mg;potassio_mg;vitamina_c_mg;tipo_alimento
Atemóia, crua;97;1,0;0,3;NA;25,3;2,1;23;23;0,2;1;300;10,1;3
Banana, da terra, crua;128;1,4;0,2;NA;33,7;1,5;4;26;0,3;Tr;328;15,7;3
Banana, doce em barra;280;2,2;0,1;NA;75,7;3,8;12;37;0,6;10;518;Tr;3
Banana, figo, crua;105;1,1;0,1;NA;27,8;2,8;6;16;0,2;Tr;387;17,5;3
Banana, maçã, crua;87;1,8;0,1;NA;22,3;2,6;3;29;0,2;Tr;264;10,5;3
Banana, nanica, crua;92;1,4;0,1;NA;23,8;1,9;3;27;0,3;Tr;376;5,9;3
Banana, ouro, crua;112;1,5;0,2;NA;29,3;2,0;3;22;0,3;Tr;355;7,6;3
Banana, pacova, crua;78;1,2;0,1;NA;20,3;2,0;5;20;0,4;1;267;Tr;3
Banana, prata, crua;98;1,3;0,1;NA;26,0;2,0;8;22;0,4;Tr;358;21,6;3
Cacau, cru;74;1,0;0,1;NA;19,4;2,2;12;9;0,3;1;72;13,6;3
Cajá-Manga, cru;46;1,3;Tr;NA;11,4;2,6;13;24;0,2;1;119;26,7;3
Cajá, polpa, congelada;26;0,6;0,2;NA;6,4;1,4;9;26;0,3;7;148;Tr;3
Caju, cru;43;1,0;0,3;NA;10,3;1,7;1;16;0,2;3;124;219,3;3
Caju, polpa, congelada;37;0,5;0,2;NA;9,4;0,8;1;10;0,1;4;88;119,7;3
Caju, suco concentrado, envasado;45;0,4;0,2;NA;10,7;0,6;1;11;0,1;45;107;138,7;3
Caqui, chocolate, cru;71;0,4;0,1;NA;19,3;6,5;18;18;0,1;2;164;29,6;3
Carambola, crua;46;0,9;0,2;NA;11,5;2,0;5;11;0,2;4;133;60,9;3
Ciriguela, crua;76;1,4;0,4;NA;18,9;3,9;27;49;0,4;2;248;27,0;3
Cupuaçu, cru;49;1,2;1,0;NA;10,4;3,1;13;21;0,5;3;331;24,5;3
Cupuaçu, polpa, congelada;49;0,8;0,6;NA;11,4;1,6;5;14;0,3;1;291;10,5;3
Figo, cru;41;1,0;0,2;NA;10,2;1,8;27;15;0,2;Tr;174;0,8;3
Figo, enlatado, em calda;184;0,6;0,2;NA;50,3;2,0;33;6;0,5;7;39;5,2;3
Fruta-pão, crua;67;1,1;0,2;NA;17,2;5,5;34;27;0,2;1;188;9,9;3
Goiaba, branca, com casca, crua;52;0,9;0,5;NA;12,4;6,3;5;16;0,2;Tr;220;99,2;3
Goiaba, doce em pasta;269;0,6;0,0;NA;74,1;3,7;10;54;0,4;4;165;23,1;3
Goiaba, doce, cascão;286;0,4;0,1;NA;78,7;4,4;15;28;0,4;11;251;34,3;3
Goiaba, vermelha, com casca, crua;54;1,1;0,4;NA;13,0;6,2;4;15;0,2;Tr;198;80,6;3
Graviola, crua;62;0,8;0,2;NA;15,8;1,9;40;19;0,2;4;250;19,1;3
Graviola, polpa, congelada;38;0,6;0,1;NA;9,8;1,2;6;17;0,1;3;170;10,5;3
Jabuticaba, crua;58;0,6;0,1;NA;15,3;2,3;8;15;0,1;Tr;130;16,2;3
Jaca, crua;88;1,4;0,3;NA;22,5;2,4;11;14;0,4;2;234;14,8;3
Jambo, cru;27;0,9;0,1;NA;6,5;5,1;14;18;0,1;22;135;3,8;3
